#Mod_Priority,#Mod_Status,#Mod_Name
"0000","+","Unmanaged: Bashed Patch, 0"
"0001","+","DLC: Wasteland Workshop"
"0002","+","DLC: Vault-Tec Workshop"
"0003","+","DLC: Nuka-World"
"0004","+","DLC: Far Harbor"
"0005","+","DLC: Contraptions Workshop"
"0006","+","DLC: Automatron"
"0007","+","Unofficial Fallout 4 Patch"
"0008","+","Institute Patch for PRC"
"0009","+","HUDFramework"
"0013","+","Armor and Weapon Keywords Community Resource (AWKCR)"
"0014","+","Armorsmith Extended"
"0015","+","Assaultron HD"
"0016","+","Remember Lockpick Angle - Updated"
"0017","+","Better Bed Mattress Textures"
"0018","+","Better Body Physics"
"0019","+","Better Rubble"
"0020","+","BodySlide and Outfit Studio"
"0022","+","Caliente's Beautiful Bodies Enhancer -CBBE-"
"0023","+","Classic Holstered Weapons System (CHW)"
"0025","+","Commonwealth Cuts - KS Hairdos - ApachiiSkyHair"
"0026","+","Commonwealth Wilderness Overhaul"
"0027","+","Console Name Fix"
"0028","+","Immersive HUD - iHUD"
"0029","+","Crafting Highlight Fix"
"0030","+","CROSS Crit Gore-verhaul"
"0032","+","Darker Vault Metal (Vault-Tec Workshop) mother base"
"0035","+","Def_ui 1.5.1.2"
"0036","+","01. DEF_UI Compatibility Patch"
"0037","+","HUD Plus Plus"
"0038","+","Delightful Dead Fish - HD Retextures for the Commonwealth and Far Harbor DLC"
"0039","+","Designer Studio"
"0040","+","ENB Lights Overhaul"
"0041","+","Enhanced Blood Textures"
"0042","+","EoW - Lashes"
"0043","+","Extended Dialogue Interface"
"0045","+","Extreme Particles Overhaul 3.0"
"0046","+","Eye Normal Map Fix Fallout 4 Edition"
"0047","+","Fallout 4 Enhanced Color Correction"
"0049","+","Fallout 4 True UltraHD Project sky"
"0050","+","Fallout Texture Overhaul Stars"
"0051","+","FAR - Faraway Area Reform"
"0052","+","Faster Workshop (Workshop Lag Fix)"
"0053","+","Female Neck Tweaks"
"0058","+","FO4 SUN"
"0060","+","Game Configuration Menu"
"0061","+","Grab the Damn Mag"
"0063","+","Grassy LODs"
"0064","+","A Forest 0.7"
"0066","+","Sim Settlements 2"
"0072","+","Gun Smoke (Weapon muzzle smoke and Smoke Trails)"
"0077","+","HiPoly Faces"
"0080","+","Immersive Mouth and Teeth - 6.0"
"0081","+","Industrial HD"
"0082","+","Jesters Better Destroyed Vehicles"
"0083","+","Josie - A Looks Menu Preset"
"0086","+","Langleys HD Texture Workshop (Packed)"
"0087","+","LooksMenu"
"0088","+","Looks Menu Customization Compendium"
"0089","+","Lots of hair Barbers extension"
"0090","+","Lucid's Texture Upgrades"
"0091","+","Mod Configuration Menu"
"0093","+","Nameplates - Floating Healthbars"
"0096","+","Nuclear Fire Main Menu Replacer"
"0098","+","Oni cute asian face parts"
"0101","+","Cambridge Bungalow Player Home"
"0102","+","Radiant Clouds and Fogs"
"0105","+","Realistic Ragdoll Force"
"0109","+","Skeletal Adjustments for CBBE - Knee Fix"
"0112","+","Teddy bear Remeshed 1.2a fomod"
"0113","+","The Eyes of Beauty Fallout Kaleidoscope Edition - All-in-One"
"0116","+","Unique Player"
"0117","+","Vanilla car explosion for Extreme Particle Overhaul 3.0"
"0118","+","Vertibird Jump"
"0119","+","Roads Redone 2K"
"0120","+","Vivid Fallout - Roads and Bridges"
"0122","+","ADs 2X Rez"
"0123","+","Wasteland Imports - Goodies from all across the Wasteland"
"0124","+","WET - Water Enhancement Textures"
"0125","+","Workshop Framework"
"0126","+","XNFRain's Stealth Boy HD Retextures"
"0129","+","Button Lowered Weapons - First and Third Person"
"0130","+","Caliente's Beautiful Bodies Enhancer -CBBE- slim"
"0131","+","Grasslands 2.0 Pre-Release 1"
"0132","+","1_Grasslands-Healthy-Performance"
"0133","+","Cheat Terminal"
"0134","+","deLuxe Makeup"
"0144","+","High FPS Physics Fix"
"0146","+","John Wick (Keanu Reeves) Preset"
"0150","+","KS Hairdos - Addon(s) with Physics"
"0151","+","KS Hairdos - Vanilla Match Retextures"
"0152","+","Misfit Tattoo Body CBBE"
"0156","+","NAC X - NATURAL AND ATMOSPHERIC COMMONWEALTH 10 - Legacy Edition"
"0158","+","Pip-Boy Flashlight (Pipboy - Power Armor - Lamp Overhaul)"
"0159","+","PIP-Pad"
"0160","+","Pip-Pad Vanilla style Retexture"
"0161","+","Rad-Ban Eyewear Inc"
"0170","+","Unique Player Bods - CBBE slim"
"0171","+","UniquePlayerBods - BodySlide SliderSet"
"0172","+","WX Hair Colors"
"0173","+","- Institute Sky -"
"0174","+","AER15 Modern Laser Assault Rifle"
"0175","+","Anti Materiel Rifle - F4NV"
"0176","+","Armor-Upgrade Overhaul"
"0177","+","Barber and Surgeon Camera Fix"
"0178","+","Better Companions - All In One"
"0179","+","Better Cooking Stations"
"0180","+","Better Explosives"
"0182","+","Better Scopes - Green"
"0183","+","Biohazard Suit"
"0185","+","Bullet Counted Reload System (BCR)"
"0186","+","Cazador Missile Launcher"
"0187","+","China Lake and Holorifle -2K"
"0188","+","Courser Crusher"
"0189","+","Cowboy Repeater - Winchester '92 - Bullet Counted Reload PATCH"
"0190","+","Cowboy Repeater AKA Winchester Model 1892"
"0191","+","CROSS Jetpack"
"0192","+","CROSS_BrotherhoodRecon"
"0193","+","CROSS_BrotherhoodRecon_BodyslideFiles"
"0194","+","CROSS_Chosen_Of_Atom"
"0195","+","CROSS_Courser Strigidae"
"0196","+","CROSS_Cryolance"
"0197","+","CROSS_InstituteExpeditionarySuit"
"0200","+","Dual Survivors - Nate Companion Mod"
"0203","+","Fallout 3 - NV Feral Ghouls Replacer"
"0204","+","Female Sexy Sitting and Standing Animation Replacer"
"0205","+","FeralGhouls Slower Vanilla Attacks Animations"
